first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa,gpa_change,term_load_z,under_6h_sleep,gpa_category,sleep_bracket_encoded,gpa_category_encoded,gender_Male,university_University of Notre Dame,university_University of Washington
0.0,0.0,0.5405504055298377,-2.1874706371708657,-0.33815128086522545,-0.3105975249272772,0.5500856138662955,0.8459579826962459,3.59,-0.5046113937445059,0.1238173606599698,0,Alto,5,1,0,0,0
0.0,0.0,-1.1033561017668672,-0.005729210987178616,0.18347287535060247,-0.08422712278430389,0.3546332299824975,0.016480238723108376,3.6,0.31112878514209646,-1.0595268869916177,1,Alto,2,1,0,0,0
0.0,0.0,-0.937782784485185,0.1080062348611295,2.104397787707204,0.9120139449807222,-1.1866484257868843,-2.1608988392063795,3.49,2.1156449384367018,-0.17232847723398767,1,Baixo,2,0,0,0,0
0.0,0.0,0.06748378472502999,0.11677756777066384,0.1292591287776093,0.9461973576228767,-0.22055521401839548,-0.6056280692567456,2.49,-1.83945895919531,-2.2515448621129024,0,Baixo,4,0,0,0,0
0.0,0.0,0.1857504399262324,-0.5332866348237615,-0.17111433196465095,-0.4227399721793496,0.5500856138662955,0.09424377722058955,3.45,-0.13382040334150488,-2.2515448621129024,0,Baixo,4,0,0,0,0
0.0,0.0,0.2212304364865922,-0.6679483980224674,0.21131236683403112,-0.05481421619771569,0.5500856138662955,-1.6165540697240077,3.78,2.3134001333183027,-0.7633810490976601,0,Alto,4,1,1,0,0
0.0,0.0,-1.2097960914479498,1.4897588191208049,1.1739726776031294,0.7760632060653839,0.7399536439248426,0.7681944441987636,3.8,0.08865419090029582,0.1238173606599698,1,Alto,2,1,0,0,0
0.0,1.0,-3.5041692023512643,2.2507523813373527,-0.007007855851806476,0.4460340212375689,-1.7618368697877766,-1.8239235057172924,2.49,-3.124867725925714,-0.7633810490976601,1,Baixo,1,0,0,0,0
0.0,0.0,1.652256964421134,-0.9417985706247289,-0.7000646701498022,-0.587657852692234,0.5500856138662955,1.3384603931802963,4.0,0.03921539217989567,1.3059225043873148,0,Alto,6,1,0,0,0
0.0,0.0,0.28036376408719393,-1.8271006874090203,-0.8978715833215346,-0.6492912715947929,0.7399536439248426,1.3384603931802963,4.0,0.03921539217989567,2.0667323138722096,0,Alto,4,1,1,0,0
0.0,0.0,0.6115103986505582,-2.4524656389089556,-0.5183753573105809,-0.4124192828434371,-1.1866484257868843,0.5349038287063189,3.76,0.2122511877012962,2.0667323138722096,0,Alto,5,1,0,0,0
1.0,0.0,-1.9785293502557608,0.9197284927045979,1.0230533290350667,0.6599161473233387,-0.9911960419030864,1.3384603931802963,4.0,0.03921539217989567,1.3059225043873148,1,Alto,1,1,0,0,0
0.0,0.0,0.469590412409116,-1.0441178676096357,0.8223159430756051,-0.48046452699586933,-1.5719688397292302,1.3384603931802963,3.53,-1.1225963777495078,-0.46847431512794513,0,Baixo,5,0,0,0,0
0.0,0.0,-0.9141294534449451,0.4487337704327664,1.1666464956338058,1.0496929680860982,-0.03068718395984828,0.17200731571807074,2.6,-2.3091275470391115,1.3059225043873148,1,Baixo,2,0,0,0,0
0.0,0.0,-0.08626286703653224,0.09476183228276715,0.07064967302302196,-0.6221384492878218,0.5500856138662955,1.3384603931802963,4.0,0.03921539217989567,0.1238173606599698,0,Alto,4,1,1,0,0
0.0,0.0,0.67064372625116,0.0634415351944632,0.7124232135357538,-0.27142286239007724,0.7399536439248426,1.3384603931802963,3.42,-1.3945097707117085,1.8969750762509872,0,Baixo,5,0,1,0,0
0.0,0.0,-0.535676156801099,-0.07790395278996343,2.401840775661734,0.17149892028177904,0.3546332299824975,0.2238496747163919,3.0,-1.3697903713515085,-0.17232847723398767,0,Baixo,3,0,0,0,0
0.0,0.0,0.5996837331304383,1.1058813684663573,0.06039301826596933,-0.2800538543325294,0.5500856138662955,1.3384603931802963,4.0,0.03921539217989567,-2.2515448621129024,0,Alto,5,1,1,0,0
0.0,0.0,-0.9732627810455459,0.9676021173112739,1.9945050581673525,2.911862838866062,-0.8013280118445393,0.8200368031970847,3.59,-0.47989199438430585,-0.7633810490976601,1,Alto,2,1,0,0,0
0.0,0.0,-0.07443620151641232,0.6946907992761946,-0.053895420455476205,-0.4151185455586981,-0.03068718395984828,0.7681944441987636,3.81,0.11337359026049589,-0.7633810490976601,0,Alto,4,1,1,0,0
0.0,0.0,0.008350457124429287,0.21032553184603547,0.20545142125857274,0.25570736205136535,0.3546332299824975,0.19792849521723188,4.0,1.126868964028699,-1.0595268869916177,0,Alto,4,1,1,0,0
